,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,1630003797,69.4541,-133.0374,286.15,88,75,5.66
1,Bluff,NZ,1630003797,-46.6,168.3333,278.6,72,91,4.08
2,Rikitea,PF,1630003797,-23.1203,-134.9692,295.21,70,0,5.12
3,Poum,NC,1630003798,-20.2333,164.0167,295.63,82,12,5.16
4,Strezhevoy,RU,1630003798,60.7333,77.5889,292.14,89,96,2.4
5,Tucumã,BR,1630003799,-0.1833,-50.05,302.59,69,65,3.65
6,Ushuaia,AR,1630003638,-54.8,-68.3,277.96,56,0,0.0
7,Albany,US,1630003527,42.6001,-73.9662,304.66,65,10,1.27
8,Atuona,PF,1630003800,-9.8,-139.0333,298.65,72,0,9.53
9,Khatanga,RU,1630003800,71.9667,102.5,275.62,85,98,2.07
10,Klaksvík,FO,1630003801,62.2266,-6.589,284.66,94,100,0.42
11,Yellowknife,CA,1630003691,62.456,-114.3525,291.44,68,40,4.12
12,Dunedin,NZ,1630003660,-45.8742,170.5036,280.26,85,100,3.13
13,North Myrtle Beach,US,1630003514,33.816,-78.68,303.93,76,1,2.24
14,Erenhot,CN,1630003802,43.6475,111.9767,285.77,70,7,3.28
15,Kaeo,NZ,1630003802,-35.1,173.7833,287.22,92,100,5.29
16,Mataura,NZ,1630003802,-46.1927,168.8643,278.42,99,100,0.76
17,Tel Aviv-Yafo,IL,1630003803,32.0805,34.7805,301.98,75,40,3.6
18,Saint-Philippe,RE,1630003804,-21.3585,55.7679,291.22,78,46,6.43
19,Bengkulu,ID,1630003804,-3.8004,102.2655,296.79,87,5,2.61
20,Lata,PT,1630003804,40.1629,-8.3327,296.68,69,0,2.02
21,Cidreira,BR,1630003805,-30.1811,-50.2056,287.28,85,100,3.24
22,Mar del Plata,AR,1630003751,-38.0023,-57.5575,292.16,22,20,11.32
23,Mayskiy,RU,1630003805,47.6931,40.1025,297.82,34,84,5.21
24,Kaitangata,NZ,1630003806,-46.2817,169.8464,279.87,90,100,2.34
25,Souillac,MU,1630003806,-20.5167,57.5167,294.36,73,40,4.12
26,Port Alfred,ZA,1630003806,-33.5906,26.891,291.06,82,9,3.3
27,Busselton,AU,1630003807,-33.65,115.3333,281.53,55,50,7.47
28,Manoel Urbano,BR,1630003807,-8.8389,-69.2597,311.2,25,100,2.89
29,Tateyama,JP,1630003807,34.9833,139.8667,301.16,92,100,3.02
30,High Level,CA,1630003808,58.5169,-117.136,292.21,55,20,3.09
31,Hobart,AU,1630003638,-42.8794,147.3294,280.4,95,90,2.57
32,Kapaa,US,1630003808,22.0752,-159.319,299.07,72,40,1.34
33,Toora-Khem,RU,1630003809,52.4675,96.11,279.62,69,4,0.61
34,Saint Paul Harbor,US,1630003809,57.79,-152.4072,286.88,77,1,0.0
35,Caucayá,CO,1630003810,-0.1934,-74.7819,303.88,59,100,0.74
36,Punta Arenas,CL,1630003810,-53.15,-70.9167,279.21,70,40,3.09
37,Carnarvon,AU,1630003810,-24.8667,113.6333,289.19,71,0,6.17
38,Ames,US,1630003574,42.0347,-93.6199,294.48,91,75,6.69
39,De Aar,ZA,1630003811,-30.6497,24.0123,287.64,37,0,5.03
40,Dikson,RU,1630003811,73.5069,80.5464,276.41,76,21,6.85
41,Lorengau,PG,1630003811,-2.0226,147.2712,299.87,80,100,4.36
42,Lüderitz,NA,1630003812,-26.6481,15.1594,286.22,82,0,2.54
43,Lerwick,GB,1630003812,60.1545,-1.1494,285.15,85,7,6.03
44,Erzin,TR,1630003813,36.9559,36.2,300.37,79,0,0.63
45,Kudahuvadhoo,MV,1630003813,2.6708,72.8944,300.97,77,38,5.83
46,Murray Bridge,AU,1630003814,-35.1167,139.2667,277.88,84,6,2.16
47,Bredasdorp,ZA,1630003814,-34.5322,20.0403,283.77,87,100,7.72
48,Mana,GF,1630003814,5.6592,-53.7767,302.19,66,24,3.01
49,Talaya,RU,1630003815,61.3833,152.75,286.18,89,100,3.4
50,Sibolga,ID,1630003815,1.7427,98.7792,297.19,90,100,1.28
51,São Filipe,CV,1630003815,14.8961,-24.4956,299.07,89,99,3.88
52,Batticaloa,LK,1630003816,7.7102,81.6924,300.69,70,100,2.34
53,Qaanaaq,GL,1630003816,77.484,-69.3632,276.39,96,100,3.12
